الصفحة,الرابط,الوصف/المحتوى,الحالة,ملاحظات
الصفحة الرئيسية,https://ntegty.com/,صفحة البحث عن النتائج - محرك بحث رئيسي للطلاب للبحث برقم الجلوس أو الاسم,مكتمل,الصفحة الأهم - تحتوي على أخبار وإحصائيات
شهادة التقدير,https://ntegty.com/certificate,أداة تصميم شهادة تقدير للطلاب المتفوقين مع إدخال البيانات وتحميل/طباعة الشهادة,مكتمل,إضافة قوالب متعددة
اتصل بنا,https://ntegty.com/contact,صفحة التواصل والاستفسارات,مكتمل,
سياسة الخصوصية,https://ntegty.com/privacy,سياسة الخصوصية وحماية البيانات,مكتمل,
الشروط والأحكام,https://ntegty.com/terms,شروط استخدام الموقع,مكتمل,
"نتائج مصر - الرئيسية",https://ntegty.com/egypt,بوابة نتائج مصر - روابط لجميع أنواع الامتحانات المصرية,مكتمل,
الشهادة الإعدادية,https://ntegty.com/egypt/preparatory,صفحة نتائج الشهادة الإعدادية - قائمة المحافظات,مكتمل,تحتاج محتوى SEO
"الإعدادية - محافظة معينة",https://ntegty.com/egypt/preparatory/{governorate},نتائج محافظة معينة مع البحث,مكتمل,ديناميكية حسب المحافظة
"الإعدادية - جميع النتائج",https://ntegty.com/egypt/preparatory/{governorate}/all,عرض جميع نتائج المحافظة مع التصفح,مكتمل,
"الإعدادية - أوائل المحافظة",https://ntegty.com/egypt/preparatory/{governorate}/top,عرض أوائل الطلاب في المحافظة,مكتمل,
"الإعدادية - نتيجة طالب",https://ntegty.com/egypt/preparatory/{governorate}/{seat_number},تفاصيل نتيجة طالب معين,مكتمل,
الثانوية العامة,https://ntegty.com/egypt/secondary,صفحة نتائج الثانوية العامة الرئيسية,مكتمل,
"الثانوية - جميع النتائج",https://ntegty.com/egypt/secondary/all,عرض جميع نتائج الثانوية العامة,مكتمل,
"الثانوية - شعبة معينة",https://ntegty.com/egypt/secondary/{branch},نتائج شعبة معينة (علمي علوم/علمي رياضة/أدبي),مكتمل,
"الثانوية - جميع نتائج الشعبة",https://ntegty.com/egypt/secondary/{branch}/all,جميع نتائج شعبة معينة,مكتمل,
"الثانوية - نتيجة طالب",https://ntegty.com/egypt/secondary/student/{seat_number},تفاصيل نتيجة طالب ثانوية عامة,مكتمل,
الدبلومات الفنية,https://ntegty.com/egypt/diplomas,صفحة رئيسية للدبلومات الفنية,مكتمل,
"دبلوم معين",https://ntegty.com/egypt/diplomas/{type},نتائج نوع دبلوم معين,مكتمل,
الأزهر - الثانوية,https://ntegty.com/egypt/azhar/secondary,نتائج الثانوية الأزهرية,مكتمل,
الأزهر - الإعدادية,https://ntegty.com/egypt/azhar/preparatory,نتائج الإعدادية الأزهرية,مكتمل,
الأزهر - الابتدائية,https://ntegty.com/egypt/azhar/primary,نتائج الابتدائية الأزهرية,مكتمل,
"عرض نتيجة طالب",https://ntegty.com/result/{id},صفحة عرض تفاصيل نتيجة طالب معين,مكتمل,
"طباعة نتيجة طالب",https://ntegty.com/result/{id}/print,صفحة طباعة النتيجة,مكتمل,
خريطة الموقع HTML,https://ntegty.com/sitemap,عرض خريطة الموقع للزوار,مكتمل,
"دولة معينة",https://ntegty.com/{country},صفحة نتائج دولة معينة غير مصر,مكتمل,
"نوع امتحان بدولة",https://ntegty.com/{country}/{slug},نتائج نوع امتحان معين في دولة,مكتمل,
"نتيجة طالب بدولة",https://ntegty.com/{country}/{slug}/student/{seat_number},تفاصيل نتيجة طالب في دولة معينة,مكتمل,
